"undir.pair","date","batA","batB","ID"
"alana-beast",2024-07-16,0,9,"2024-07-16_alana-beast"
"alana-beast",2024-07-23,0,0,"2024-07-23_alana-beast"
"alana-beast",2024-07-29,0,0,"2024-07-29_alana-beast"
"alana-creep",2024-07-16,0,228,"2024-07-16_alana-creep"
"alana-creep",2024-07-22,11,165,"2024-07-22_alana-creep"
"alana-creep",2024-07-29,0,0,"2024-07-29_alana-creep"
"alana-kazul",2024-07-16,4,38,"2024-07-16_alana-kazul"
"alana-kazul",2024-07-23,0,0,"2024-07-23_alana-kazul"
"alana-kazul",2024-08-03,0,0,"2024-08-03_alana-kazul"
"alana-lurch",2024-07-14,8,4,"2024-07-14_alana-lurch"
"alana-lurch",2024-07-23,0,14,"2024-07-23_alana-lurch"
"alana-lurch",2024-08-04,0,0,"2024-08-04_alana-lurch"
"alana-mochi",2024-07-14,2,69,"2024-07-14_alana-mochi"
"alana-mochi",2024-07-27,0,0,"2024-07-27_alana-mochi"
"alana-mochi",2024-08-03,0,0,"2024-08-03_alana-mochi"
"alana-quark",2024-07-17,0,0,"2024-07-17_alana-quark"
"alana-quark",2024-07-22,0,0,"2024-07-22_alana-quark"
"alana-quark",2024-08-03,0,0,"2024-08-03_alana-quark"
"alana-yikes",2024-07-27,50,343,"2024-07-27_alana-yikes"
"alana-yikes",2024-08-04,176,412,"2024-08-04_alana-yikes"
"alana-yikes",2024-07-17,0,0,"2024-07-17_alana-yikes"
"beast-creep",2024-07-16,7,112,"2024-07-16_beast-creep"
"beast-creep",2024-07-22,0,36,"2024-07-22_beast-creep"
"beast-creep",2024-08-01,0,0,"2024-08-01_beast-creep"
"beast-kazul",2024-07-16,13,16,"2024-07-16_beast-kazul"
"beast-kazul",2024-07-23,1,0,"2024-07-23_beast-kazul"
"beast-kazul",2024-08-05,0,0,"2024-08-05_beast-kazul"
"beast-lurch",2024-07-14,0,0,"2024-07-14_beast-lurch"
"beast-lurch",2024-07-23,0,0,"2024-07-23_beast-lurch"
"beast-lurch",2024-08-01,0,0,"2024-08-01_beast-lurch"
"beast-mochi",2024-07-14,2,14,"2024-07-14_beast-mochi"
