"Model","Variable","Median","HPDI:0.05","HPDI:0.95","Mean","SD","P"
"allogrooming","focal effects sd","2.786","1.548","4.274","2.935","0.904","0"
"allogrooming","target effects sd","0.514","0","1.095","0.574","0.4","0"
"allogrooming","dyadic effects sd","1.545","1.161","1.941","1.57","0.247","0"
"allogrooming","dyadic effects coeffs, Grooming","0.721","0.141","1.32","0.721","0.364","0.023"
"allogrooming","focal-target effects rho (generalized recipocity)","0.297","-0.322","0.85","0.249","0.37","0.249"
"allogrooming","dyadic effects rho (dyadic recipocity)","0.279","-0.095","0.665","0.267","0.232","0.136"
"allogrooming","intercept, any to any","0.715","-1.182","2.548","0.622","1.158","0.268"
"allofeeding","focal effects sd","2.911","1.633","4.401","3.058","0.926","0"
"allofeeding","target effects sd","0.654","0","1.257","0.707","0.443","0"
"allofeeding","dyadic effects sd","1.56","1.164","1.983","1.586","0.261","0"
"allofeeding","dyadic effects coeffs, Feeding","0.511","-0.027","1.059","0.516","0.335","0.06"
"allofeeding","focal-target effects rho (generalized recipocity)","0.306","-0.306","0.806","0.266","0.349","0.224"
"allofeeding","dyadic effects rho (dyadic recipocity)","0.322","-0.074","0.676","0.301","0.233","0.112"
"allofeeding","intercept, any to any","0.659","-1.412","2.472","0.557","1.224","0.292"
"kinship","focal effects sd","2.917","1.619","4.434","3.054","0.927","0"
"kinship","target effects sd","0.754","0","1.398","0.804","0.469","0"
"kinship","dyadic effects sd","1.597","1.189","2.041","1.622","0.266","0"
"kinship","dyadic effects coeffs, Kinship","0.235","-0.68","1.193","0.235","0.571","0.337"
"kinship","focal-target effects rho (generalized recipocity)","0.326","-0.227","0.851","0.292","0.339","0.198"
"kinship","dyadic effects rho (dyadic recipocity)","0.395","0.009","0.716","0.373","0.219","0.06"
"kinship","intercept, any to any","0.689","-1.545","2.51","0.568","1.277","0.297"
