"Model","Variable","Median","HPDI:0.05","HPDI:0.95","Mean","SD","P"
"allogrooming given","focal effects sd","2.945","1.643","4.454","3.084","0.927","0"
"allogrooming given","target effects sd","0.799","0","1.428","0.854","0.468","0"
"allogrooming given","dyadic effects sd","1.526","1.152","1.962","1.557","0.257","0"
"allogrooming given","dyadic effects coeffs, Grooming","0.35","-0.074","0.789","0.353","0.263","0.085"
"allogrooming given","focal-target effects rho (generalized recipocity)","0.359","-0.175","0.857","0.322","0.326","0.167"
"allogrooming given","dyadic effects rho (dyadic recipocity)","0.337","-0.045","0.712","0.32","0.231","0.096"
"allogrooming given","intercept, any to any","0.59","-1.567","2.488","0.507","1.263","0.321"
"allogrooming given","error sd",NA,NA,NA,NA,NA,NA
"allofeeding given","focal effects sd","2.958","1.737","4.506","3.097","0.919","0"
"allofeeding given","target effects sd","0.756","0.011","1.363","0.805","0.445","0"
"allofeeding given","dyadic effects sd","1.529","1.139","1.96","1.556","0.26","0"
"allofeeding given","dyadic effects coeffs, Feeding","0.492","0.018","0.949","0.495","0.282","0.039"
"allofeeding given","focal-target effects rho (generalized recipocity)","0.368","-0.182","0.844","0.327","0.327","0.169"
"allofeeding given","dyadic effects rho (dyadic recipocity)","0.363","-0.024","0.71","0.342","0.229","0.079"
"allofeeding given","intercept, any to any","0.607","-1.594","2.507","0.509","1.269","0.307"
"allofeeding given","error sd",NA,NA,NA,NA,NA,NA
"kinship","focal effects sd","2.905","1.617","4.443","3.049","0.925","0"
"kinship","target effects sd","0.736","0.029","1.407","0.788","0.459","0"
"kinship","dyadic effects sd","1.594","1.184","2.028","1.623","0.267","0"
"kinship","dyadic effects coeffs, Kinship","0.248","-0.663","1.25","0.252","0.586","0.329"
"kinship","focal-target effects rho (generalized recipocity)","0.337","-0.234","0.831","0.295","0.336","0.191"
"kinship","dyadic effects rho (dyadic recipocity)","0.393","0.025","0.716","0.372","0.216","0.058"
"kinship","intercept, any to any","0.712","-1.395","2.563","0.612","1.226","0.285"
"kinship","error sd",NA,NA,NA,NA,NA,NA
"allogrooming received","focal effects sd","2.894","1.672","4.413","3.028","0.902","0"
"allogrooming received","target effects sd","0.773","0.03","1.44","0.832","0.461","0"
"allogrooming received","dyadic effects sd","1.583","1.163","2.02","1.61","0.269","0"
"allogrooming received","dyadic effects coeffs, Grooming.received","0.201","-0.287","0.657","0.199","0.287","0.235"
"allogrooming received","focal-target effects rho (generalized recipocity)","0.355","-0.209","0.818","0.317","0.327","0.17"
"allogrooming received","dyadic effects rho (dyadic recipocity)","0.351","-0.013","0.732","0.335","0.232","0.085"
"allogrooming received","intercept, any to any","0.661","-1.488","2.504","0.572","1.229","0.295"
"allogrooming received","error sd",NA,NA,NA,NA,NA,NA
"allofeeding received","focal effects sd","2.968","1.652","4.53","3.112","0.947","0"
"allofeeding received","target effects sd","0.76","0","1.368","0.813","0.463","0"
"allofeeding received","dyadic effects sd","1.54","1.137","1.974","1.568","0.265","0"
"allofeeding received","dyadic effects coeffs, Feeding.received","0.304","-0.175","0.752","0.301","0.284","0.139"
"allofeeding received","focal-target effects rho (generalized recipocity)","0.349","-0.197","0.848","0.306","0.33","0.186"
"allofeeding received","dyadic effects rho (dyadic recipocity)","0.311","-0.094","0.685","0.295","0.242","0.124"
"allofeeding received","intercept, any to any","0.619","-1.533","2.517","0.502","1.264","0.316"
"allofeeding received","error sd",NA,NA,NA,NA,NA,NA
