date,start.time,batA,batB
7/14/24,14:14,Beast,Mochi
7/14/24,15:24,Alana,Mochi
7/14/24,16:44,Beast,Lurch
7/14/24,17:53,Alana,Lurch
7/15/24,9:47,Kazul,Lurch
7/15/24,10:54,Kazul,Mochi
7/15/24,12:07,Creep,Lurch
7/15/24,13:13,Creep,Mochi
7/16/24,11:22,Beast,Alana
7/16/24,12:30,Beast,Kazul
7/16/24,13:38,Beast,Creep
7/16/24,14:44,Alana,Creep
7/16/24,15:54,Alana,Kazul
7/16/24,17:00,Creep,Kazul
7/17/24,10:03,Alana,Quark
7/17/24,11:13,Alana,Yikes
7/17/24,12:30,Beast,Yikes
7/17/24,13:36,Beast,Quark
7/18/24,11:04,Yikes,Mochi
7/18/24,12:10,Yikes,Lurch
7/18/24,13:19,Yikes,Quark
7/18/24,14:28,Quark,Lurch
7/18/24,15:34,Quark,Mochi
7/18/24,16:38,Lurch,Mochi
7/21/24,15:28,Kazul,Yikes
7/21/24,16:37,Creep,Yikes
7/21/24,17:50,Kazul,Quark
7/21/24,18:56,Creep,Quark
7/22/24,10:08,Alana,Creep
7/22/24,11:28,Alana,Quark
7/22/24,12:35,Beast,Quark
7/22/24,13:41,Beast,Creep
7/23/24,11:17,Beast,Lurch
7/23/24,12:28,Beast,Alana
7/23/24,13:33,Alana,Kazul
7/23/24,14:43,Alana,Lurch
7/23/24,15:47,Kazul,Lurch
7/23/24,16:54,Kazul,Beast
7/24/24,10:06,Lurch,Yikes
7/24/24,11:13,Kazul,Yikes
7/24/24,12:19,Kazul,Mochi
7/24/24,13:26,Lurch,Mochi
7/25/24,12:09,Quark,Mochi
7/25/24,13:17,Creep,Quark
7/25/24,14:25,Quark,Yikes
7/25/24,15:29,Creep,Yikes
7/25/24,16:34,Yikes,Mochi
7/25/24,17:38,Creep,Mochi
7/27/24,15:40,Beast,Mochi
7/27/24,16:44,Beast,Yikes
7/27/24,17:48,Alana,Yikes
7/27/24,18:55,Alana,Mochi
7/28/24,13:46,Kazul,Quark
7/28/24,14:55,Lurch,Quark
7/28/24,16:01,Creep,Lurch
7/28/24,17:06,Kazul,Creep
7/29/24,10:02,Creep,Mochi
7/29/24,11:06,Creep,Alana
7/29/24,12:11,Beast,Alana
7/29/24,13:15,Beast,Mochi
8/1/24,11:25,Beast,Creep
8/1/24,12:31,Beast,Lurch
8/1/24,13:40,Creep,Lurch
8/1/24,14:45,Lurch,Yikes
8/1/24,15:54,Creep,Yikes
8/1/24,16:58,Beast,Yikes
8/2/24,10:16,Kazul,Yikes
8/2/24,11:21,Quark,Yikes
8/2/24,12:25,Quark,Lurch
8/2/24,13:31,Kazul,Lurch
8/3/24,11:12,Kazul,Mochi
8/3/24,12:17,Kazul,Quark
8/3/24,13:23,Quark,Mochi
8/3/24,14:29,Alana,Quark
8/3/24,15:35,Alana,Kazul
8/3/24,16:45,Alana,Mochi
8/4/24,15:28,Lurch,Mochi
8/4/24,16:34,Alana,Lurch
8/4/24,17:38,Alana,Yikes
8/4/24,18:43,Yikes,Mochi
8/5/24,10:07,Beast,Kazul
8/5/24,11:12,Kazul,Creep
8/5/24,12:17,Creep,Quark
8/5/24,13:25,Beast,Quark
